Source          Target         
-------------------------
11087260        5193162        
11087260        5276735        
11087260        5668986        
11087260        5404299        
11087260        5329447        
11087260        4536866        
11087260        5560005        
11087260        5535393        
11070593        5193162        
11070593        5276735        
11070593        5668986        
11070593        5404299        
11070593        5329447        
11070593        4536866        
11070593        5560005        
11070593        5535393        
11068618        5193162        
11068618        5276735        
11068618        5668986        
11068618        5761529        
11068618        5404299        
11068618        5329447        
11068618        5560005        
11068618        5535393        
11074367        5193162        
11074367        5276735        
11074367        5668986        
11074367        5757685        
11074367        5404299        
11074367        5329447        
11074367        5560005        
11074367        5535393        
11029198        4487162        
11029198        4663828        
11029198        4058418        
11029198        3949410        
11029198        4715235        
11029198        4392451        
11029198        4471003        
11032685        20160007137    
11032685        20170353944    
11032685        20150033312    
11032685        20160219125    
11032685        20180014144    
11032685        20150245161    
11032685        20120106431    
11032685        20160192111    
11038925        5193162        
11038925        5276735        
11038925        5668986        
11038925        5404299        
11038925        5329447        
11038925        4536866        
11038925        5560005        
11038925        5535393        
11042882        4205780        
11042882        4404649        
11042882        4270042        
11042882        4268715        
11042882        4321672        
11042882        4264808        
11042882        4326258        
11042882        4201978        
11045095        10078074       
11045095        10413226       
11045095        20130310700    
11045095        10143401       
11045095        20070160286    
11045095        20090147991    
11045095        10078795       
