Source          Target         
-------------------------
11087260        6275824        
11087260        8463247        
11087260        7788222        
11087260        20190130132    
11087260        7962900        
11087260        8494894        
11087260        20120131438    
11087260        20190268344    
11087260        8713638        
11087260        8862507        
11087260        8719366        
11087260        10289857       
11087260        9853959        
11087260        20200183655    
11087260        9241259        
11087260        20170140174    
11087260        8688601        
11087260        9047463        
11087260        10565161       
11087260        20200242719    
11087260        7403942        
11087260        20200193018    
11087260        7512987        
11087260        9648036        
11087260        9817850        
11087260        8763071        
11087260        10909488       
11087260        20100235297    
11087260        20170140467    
11087260        20200092179    
11087260        20130332362    
11087260        9621566        
11087260        10796260       
11087260        20150254597    
11087260        7260830        
11087260        8429630        
11087260        20150261887    
11087260        20170041324    
11087260        8332908        
11087260        20180032757    
11087260        8176177        
11087260        20150235283    
11087260        8205140        
11087260        7613700        
11087260        20200193022    
11087260        20150269384    
11087260        10726158       
11087260        10402545       
11087260        6463488        
11087260        20180375814    
11087260        10762236       
11087260        7203929        
11087260        7284271        
11087260        7712029        
11087260        9232040        
11087260        20060259416    
11087260        20160063523    
11087260        20160125550    
11087260        20070130323    
11087260        8656456        
11087260        7966310        
11087260        20070180490    
11087260        20120330869    
11087260        20030097661    
11087260        10678945       
11087260        10069914       
11087260        7756826        
11087260        20090012896    
11087260        20160246991    
11087260        8069161        
11087260        6901346        
11087260        20030212604    
11087260        7630998        
11087260        7139999        
11087260        9529989        
11087260        20100077484    
11087260        5404299        
11087260        8473324        
11087260        8788935        
11087260        9489366        
11087260        7281020        
11087260        10613971       
11087260        20090182818    
11087260        10028226       
11087260        20130318207    
11087260        20190266350    
11087260        20100223349    
11087260        20030065641    
11087260        7376835        
11087260        9578173        
11087260        6519571        
11087260        20170142177    
11087260        20150106867    
11087260        10311475       
11087260        20140208418    
11087260        6725200        
11087260        8566938        
11087260        9852150        
11087260        20030115142    
11087260        20100234987    
11087260        20140089027    
11087260        20140040161    
11087260        9928379        
11087260        8560645        
11087260        7665125        
11087260        10536475       
11087260        5276735        
11087260        10387952       
11087260        20030131001    
11087260        20030130893    
11087260        7590972        
11087260        6925443        
11087260        7693593        
11087260        20040098366    
11087260        8630961        
11087260        9231935        
11087260        20080281649    
11087260        8103962        
11087260        8767947        
11087260        20130179982    
11087260        8978158        
11087260        9507960        
11087260        10181051       
11087260        5193162        
11087260        8176470        
11087260        7340447        
11087260        9959551        
11087260        8839232        
11087260        9621357        
11087260        20110208850    
11087260        8341405        
11087260        9923927        
11087260        9424021        
11087260        7653592        
11087260        8533746        
11087260        7367014        
11087260        9727751        
11087260        6606744        
