ID              Name                                     Data                 Title                    
------------------------------------------------------------------------------------------------------------------------------------------------------
11087260        Clearwater, et al.                       August 10, 2021      Data processing systems and methods for customizing privacy training

4536866         Jerome, et al.                           August 20, 1985      Information retrieval system and apparatus

5193162         Bordsen, et al.                          March 9, 1993        Cache memory with data compaction for use in the audit trail of a data processing system having record locking capabilities

5276735         Boebert, et al.                          January 4, 1994      Data enclave and trusted path system

5329447         Leedom, Jr.                              July 12, 1994        High integrity computer implemented docketing system

5404299         Tsurubayashi, et al.                     April 4, 1995        Electronic dictionary system

5535393         Reeve, et al.                            July 9, 1996         System for parallel processing that compiles a filed sequence of instructions within an iteration space

5560005         Hoover, et al.                           September 24, 1996   Methods and systems for object-based relational distributed databases

5668986         Nilsen, et al.                           September 16, 1997   Method and apparatus for handling data storage requests in a distributed data base environment

5761529         Raji, et al.                             June 2, 1998         Method for storing and retreiving files by generating an array having plurality of sub-arrays each of which include a digit of file identification numbers

5764906         Edelstein, et al.                        June 9, 1998         Universal electronic resource denotation, request and delivery system

5913214         Madnick, et al.                          June 15, 1999        Data extraction from world wide web pages

6016394         Walker                                   January 18, 2000     Method and system for database application software creation requiring minimal programming

6122627         Carey, et al.                            September 19, 2000   System, method, and program for object building in queries over object views

6148342         Ho                                       November 14, 2000    Secure database management system for confidential records using separately encrypted identifier and access request

6240416         Immon, et al.                            May 29, 2001         Distributed metadata system and method

6253203         O'Flaherty, et al.                       June 26, 2001        Privacy-enhanced database

6263335         Paik, et al.                             July 17, 2001        Information extraction system and method using concept-relation-concept (CRC) triples

6272631         Thomlinson, et al.                       August 7, 2001       Protected storage of core data secrets

6275824         O'Flaherty, et al.                       August 14, 2001      System and method for managing data privacy in a database management system

6282548         Burner, et al.                           August 28, 2001      Automatically generate and displaying metadata as supplemental information concurrently with the web page, there being no link between web page and metadata

6363488         Ginter, et al.                           March 26, 2002       Systems and methods for secure transaction management and electronic rights protection

6374237         Reese                                    April 16, 2002       Data set selection based upon user profile

6374252         Althoff, et al.                          April 16, 2002       Modeling of object-oriented database structures, translation to relational database structures, and dynamic searches thereon

6408336         Schneider, et al.                        June 18, 2002        Distributed administration of access to information

